id,text,positive,toxic,neutral
,ai writing ta onek shundor,1,0,0
,makeup ta baje hoise ,0,1,0
,na bujhe ultapalta na likhleo paro,0,1,0
,aager cheye mota hoiso,0,1,0
,drawing a aro improve kora dorkar ,0,1,0
,aita kono result hoilo!,0,1,0
,dst makeup ta manay nai re ,0,1,0
,dress ta shundor,1,0,0
,teaching method khub e baje,0,1,0
,akhono shomoy ase ashob baad dao,0,1,0
,tomar post tomar motoi faltu,0,1,0
,tomar kaj akdom baje,0,1,0
,kharap manusher sathe kharap e hobe ,0,1,0
,mair khabi,0,1,0
,baalsaal baad de,0,1,0
,ashepashe ashole kew care kore na ,0,1,0
,tr dara ai result e possible,0,1,0
,vlo kichu expect kori na tr dara,0,1,0
,parle kore dekha!,0,1,0
,tui korbi na tor bap korbo,0,1,0
,u look very beautifull,1,0,0
,tomar sathe dekha kora amr lifer worst experience,0,1,0
,bhai neshakhor lage tore ,0,1,0
,darkcircles er bhitor chokh lol ,0,1,0
,pimples gula khub e baje lagtese re ,0,1,0
,r weight gain koris na ,0,1,0
,tumi to akdom unique,1,0,0
,pagol akta ,0,1,0
,gadhar moto kaj ,0,1,0
,fazlami baad diye serious ho ,0,1,0
,amazing work dst,1,0,0
,baal dao to paros na ,0,1,0
,tor dara possible na ,0,1,0
,kharap korte korte tr akhon gayeo lage na ,0,1,0
,characterless purai ,0,1,0
,kuttarbaccha ki korse deksos,0,1,0
,haramigiri off kor ,0,1,0
,or future ondhokar kaj deklei buja jay ,0,1,0
,ki kushchit dekte re baba,0,1,0
,butki lagtese ,0,1,0
,hati lagtese ,0,1,0
,aita kono talent na ,0,1,0
,tomar moto bhalo manush kom e hoy ,1,0,0
,kotha guchao bolte pare na kichu na asche live korte,0,1,0
,pagoler moto kotha bolos kn ,0,1,0
,jottoshob faltu ,0,1,0
,tmi amr jibontai nosto kore diso,0,1,0
,nostami bondho kro ,0,1,0
,ai baaler result diye kichui hobe na ,0,1,0
,aita kono face hoilo naki,0,1,0
,lifeless er moto kothabarta boilo na ,0,1,0
,nije kichu pare na asche abar judge korte ,0,1,0
,taka kheye fake review dey,0,1,0
,ata moyda shuji ,0,1,0
,plastic akta ,0,1,0
,kathir moto lage dekhte ,0,1,0
,kaj to komas na khali barash,0,1,0
,dekhte ki misty lagtese tmk,1,0,0
,inspiring kaj krtso,1,0,0
,proud of you ,1,0,0
,meyeta purai talentless,0,1,0
,tomar kono kaj e amr pochondo hocche na ,0,1,0
,bosti akdom,0,1,0
,khet appi ,0,1,0
,over acting kore khali ,0,1,0
,fake review r koto,0,1,0
,kothabarta shunlei bujha jay brainless ,0,1,0
,ashob baad dao bhai ,0,1,0
,free pawar jonno koto chapa ,0,1,0
,tmk shit er moto lage dekhte,0,1,0
,purai illiterate ,0,1,0
,dhong dekhle bachi na ,0,1,0
,fazlami baad dao ,0,1,0
,manusher taka marar dhanda,0,1,0
,lojjashorom nai ,0,1,0
,tokai,0,1,0
,dekte j baje hoiteso dindin,0,1,0
,jotoi makeup koro na kn tao ugly e lage ,0,1,0
,makeup koreo kali ,0,1,0
,ato kichu diyeo shundor hoite parla na ,0,1,0
,kotto ugly vyrevy ,0,1,0
,khub e baje lagtese ,0,1,0
,face vorti dag ,0,1,0
,buira beti lage ,0,1,0
,buira beta lage ,0,1,0
,takar jonno ki shob j shuru korse ,0,1,0
,tr dara possible na,0,1,0
,baal o prs na ,0,1,0
,nostami off kor ,0,1,0
,ki shundor dekte ma sha allah ,1,0,0
,ore vlloi lage na amr,0,1,0
,thappor marle shikkha hbe ,0,1,0
,ore mon chay maira feli,0,1,0
,ki din ashlo ai baal dekha lagtese ,0,1,0
,purai slut er moto behaviour ,0,1,0
,fake beauty queen ,0,1,0
,vodrota shikhe nai ,0,1,0
,kotha bolar dhoron ato khrp ,0,1,0
,atto annoying manush kmne hoy,0,1,0
,baad de ashob ,0,1,0
,shala off kr ,0,1,0
,baal akta,0,1,0
,tmr jootoshob faltu kaj ,0,1,0
,savage akta ,0,1,0
,body dekhay taka kamay ,0,1,0
,tmi to akta magi ,0,1,0
,nostami kore khali sharadin ,0,1,0
,butki re dekha jay kemon ,0,1,0
,u inspire me very much ,1,0,0
,thappor kahisle tokhon shikbi ,0,1,0
,feminist ti khali namer ,0,1,0
,hot hoite giye nengta hoye jay ,0,1,0
,kapor porar dorkar ki chilo ,0,1,0
,tomader moto meyeder jonnoi shoman ta nosto ,0,1,0
,akhono shomoy ase diner pothe asho,0,1,0
,you are very charming,1,0,0
,ato kharap meye ,0,1,0
,buira beti biye korse,0,1,0
,kuttarbaccha vlo hobi na tui ,0,1,0
,shala khali nostami kore ,0,1,0
,tore chudi ,0,1,0
,ashob nekami off kor ,0,1,0
,shera playboy ,0,1,0
,khaiya dise ,0,1,0
,koyta lage tomar ,0,1,0
,ak night price koto,0,1,0
,tomar price tao bolo ,0,1,0
,chi lojja nai ,0,1,0
,ashob kaj kmne koro bindumatro lojja to thakar kotha ,0,1,0
,notun khaddo ,0,1,0
,baalpakna polapan ,0,1,0
,khaise sure,0,1,0
,khawadawa vloi chole ,0,1,0
,tui to khrap e tor mao kharap ,0,1,0
,luiccha,0,1,0
,shala characterless,0,1,0
,aita ki tomar haat er jadu ,0,1,0
,gadhar baccha gadhai hbe,0,1,0
,baper takay joto futani ,0,1,0
,ki body dekhay beray ,0,1,0
,makeup diyeo to forsha hoite paro na ,0,1,0
,buirar bou ,0,1,0
,raater price koto,0,1,0
,maal lagtese ,0,1,0
,deshi pornstar,0,1,0
,deshi maal akta ,0,1,0
,kailla bhoot ,0,1,0
,joto shob goru sagol,0,1,0
,chagoler moto kaj,0,1,0
,tmi manush e kharap,0,1,0
,meye namer kolongo ,0,1,0
,purush jaatir kolonko ,0,1,0
,lifestyle dekhe monehoy magi pura ,0,1,0
,shob e toh fake ,0,1,0
,sharadin showoff kore beray,0,1,0
,kailla bhoot ,0,1,0
,tmr sugar daddy koi ,0,1,0
,goru eta koydiner jonno ,0,1,0
,tmk dekhlei mejaj khrp hoy ,0,1,0
,nach dekhaila naki onno kisu,0,1,0
,asche body dekhaite ,0,1,0
,baaper takay futani,0,1,0
,bostar moto lagtese,0,1,0
,aitar sathe koydin r ,0,1,0
,ashob kono poshak hoilo,0,1,0
,porar theke na porai vlo,0,1,0
,ja porso dress pora r na pora same,0,1,0
,shob dekhai jaitese,0,1,0
,cheater akta ,0,1,0
,fraud kaj kore,0,1,0
,shala  ghushkhor,0,1,0
,neshakhor er moto lage,0,1,0
,nesha korte korte ai obostha,0,1,0
,ganja khay betay,0,1,0
,manush ho ,0,1,0
,r koto meyer life niye khelba,0,1,0
,tr kopal khrp naki face,0,1,0
,chakma lgtese ,0,1,0
,buira boyoshe vimroti,0,1,0
,bosti akta,0,1,0
,bosti theke uthe asche monehoy,0,1,0
,chipta akdom e,0,1,0
,lojja naii,0,1,0
,abaal purai,0,1,0
,baalpakna polapain,0,1,0
,desh ta k nosto krtse,0,1,0
,bhalo lage tomake,1,0,0
,osshojjokor akta manush,0,1,0
,bitokto lge dekhlei ,0,1,0
,mejaj tai khrp hoy,0,1,0
,r kotoi ba shojjo kora jay,0,1,0
,toxic behavior bondho koro,0,1,0
,pagoler kotha barta ,0,1,0
,pagol chagol jottoshob,0,1,0
,pagol chagol jottoshob jutse kopale,0,1,0
,jeina or chehara,0,1,0
,matha hang hoye jay kotha bollei,0,1,0
,manush ato chesra kmne hoy,0,1,0
,vaab a bache na ,0,1,0
,kamer theke vaab beshi,0,1,0
,tui khrap tr 14 gusti khrp,0,1,0
,baal akta ,0,1,0
,tr dara kisui hbe na ,0,1,0
,atto annoying manush hoy vyrevy,0,1,0
,mejaj tai khrap koira dey,0,1,0
,lifeless er dol jottoshob ,0,1,0
,kuttamorar moto chillaitese ,0,1,0
,kaker moto chul,0,1,0
,atto faltu lage ore amr,0,1,0
,kishob e kore bhai birokto ami,0,1,0
,change koro nijeke aivabe r kotodin,0,1,0
,dekse ki baje lagtese ,0,1,0
,atto bisri chi,0,1,0
,ki khrp mentality oder,0,1,0
,abusing kotha bole,0,1,0
,harrasment purai,0,1,0
,kno j amon kore ,0,1,0
,tomar kotha ora shune u inspire that much,1,0,0
,tor abaalgiri bondho kor,0,1,0
,tor uchit moira jawa,0,1,0
,tor uchit suicide kora,0,1,0
,tr moto manush thakar cheye na thakai vlo,0,1,0
,morlei to paros,0,1,0
,tor bachar o right nai,0,1,0
,moira ja ,0,1,0
,emeno tui ashob parbi na ,0,1,0
,shala off ja to,0,1,0
,maiya potaite jaiya e chasra hoye jay,0,1,0
,meye dekhle hush thake na,0,1,0
,kno amon birokto korteso,0,1,0
,tui kisui korte parbi na ,0,1,0
,amr monehoy na o kichu vlo krbe,0,1,0
,tor kopale kisui nai,0,1,0
,baalsaal r koto,0,1,0
,neshakhor er moto lagtese tore,0,1,0
,meye ta purai maal,0,1,0
,jinish deksos,0,1,0
,din tai baal jay ore dekhle,0,1,0
,tomake dekhle bachte iccha kore,1,0,0
,ore to bhai ma shoho gaali dey,0,1,0
,future pornstar,0,1,0
,thappor kahile thik hobi ,0,1,0
,mair khas na to ,0,1,0
,mair kahile bujbi,0,1,0
,amon frauld r krs na bhai,0,1,0
,dui no khali,0,1,0
,paros to khali manush re dhoka dite,0,1,0
,vlo hoye ja ,0,1,0
,khrp manush hoile jiboner orjon ashole 0,0,1,0
,tomar shikkhar kono value e nai cz tmi manush e khrp ,0,1,0
,poralekha koreo manush hoite parla na ,0,1,0
,hatir baccha ,0,1,0
,mohis akta,0,1,0
,chagoler moto lage tre,0,1,0
,honumaner moto deho,0,1,0
,nijer face aynay deksos,0,1,0
,tomake dekhle tomar jonno maya lage ,1,0,0
,tmi onk helpful akta manush,1,0,0
,tomar moto khrp manush dekhi nai,0,1,0
,maturity bolte kichhu nai,0,1,0
,cheap mentality,0,1,0
,omanush era,0,1,0
,onner taka mere khay,0,1,0
,jottoshob oshlil kaj,0,1,0
,tomar negativity r vllge na ,0,1,0
,kahli to negativity chorao,0,1,0
,mutki aktu gym kor,0,1,0
,brain e nai tmr,0,1,0
,manusher future koto bright r tui ki koros,0,1,0
,manusher moto manush ho ,0,1,0
,luicchami bondho kor ,0,1,0
,character ta akdome baje ,0,1,0
,manusher brain vorti khali gu,0,1,0
,shit er moto bhv kre,0,1,0
,live a aisha nachanachi start korse,0,1,0
,aishob result diye kicchu hbe na ,0,1,0
,thik koro shob ,0,1,0
,nijeke aage fix kre manush hou ,0,1,0
,skille toh nai tmr,0,1,0
,ai skill diye kvbe future develop krbe,0,1,0
,taka marar dhanda,0,1,0
,fraud pura,0,1,0
,kishob j krtse,0,1,0
,mukhe ja ashe tai bole ,0,1,0
,kothar kono aga matha nai,0,1,0
,boyosh thiki hoise but manush khrp,0,1,0
,mentality e cheap,0,1,0
,chotoloker moto bhvr,0,1,0
,chotolok purai,0,1,0
,daat baka kn,0,1,0
,ddat maje na dek,0,1,0
,hayre plastic surgery,0,1,0
,moydar bosta,0,1,0
,tumi onk misty akta meye,1,0,0
,tmr help chara kaj ta kortei partam na ,1,0,0
,bhai amon baje dekte saree porleo manay na,0,1,0
,kathir moto figure,0,1,0
,deklei ghinna lge,0,1,0
,tmr moira jawai vlo ,0,1,0
,mukh diye gondho ,0,1,0
,fraud pura bhai,0,1,0
,dat maje na dek,0,1,0
,chotoloker moto bhvr kore,0,1,0
,mentality e cheap onk,0,1,0
,boyosh thiki hoise but manush khrp uni,0,1,0
,tumi aager cheye mota hoiso,0,1,0
,chesrami kore sharadin,0,1,0
,raag uthe deklei,0,1,0
,thappor marte mon chay,0,1,0
,o to purai slut ,0,1,0
,slut akta,0,1,0
,kharap meye,0,1,0
,meye hoyeo nesha kore,0,1,0
,ore deklei ga jole,0,1,0
,birokto lgtese bahi,0,1,0
,vanga gola pura,0,1,0
,baaler singer,0,1,0
,khali autotune use kre,0,1,0
,ashob nostami korei famous hoise,0,1,0
,mentality e cheap onk or,0,1,0
,kuttarbaccha ,0,1,0
,khanki akta,0,1,0
,characterless meye ,0,1,0
,breainless binbo purai,0,1,0
,akta kaj o pare na ,0,1,0
,2jon re aktuo manay na ,0,1,0
,aktuo shundor lage na ,0,1,0
,aktuo sndr lage na ,0,1,0
,khubi baje lgtse dekte,0,1,0
,ki dekhe pochondo korse allah e jane,0,1,0
,ruchi e kharap,0,1,0
,taste khrp,0,1,0
,choice khrp,0,1,0
,tre to cartoon lage dekhte,0,1,0
,manusher moto dekhte ho,0,1,0
,shala neshakhor,0,1,0
,shala abaal,0,1,0
,shala bekkol ,0,1,0
,o bekkol purai,0,1,0
,modon beshi,0,1,0
,easily modon banano jay ore,0,1,0
,tre joto gali dei totoi kom,0,1,0
,kali akta dekte kmn lage,0,1,0
,skin ato baje,0,1,0
,buri hoye jaitese biye hoy na ,0,1,0
,or to mental problem ase,0,1,0
,pagol akta ,0,1,0
,din raat nesha kore khali ,0,1,0
,khub baal da paro tmi ,0,1,0
,o din raat nesha kore khali ,0,1,0
,Baal chal kajkam,0,1,0
,Bal chal kajkam,0,1,0
,balsal polapan,0,1,0
,baalsaal jibon,0,1,0
,Kire vodai kam koros na kn,0,1,0
,Vadaimma polapan,0,1,0
,Tui to dekhi bolod,0,1,0
,Fokinnir baccha tui,0,1,0
,Balvadaimma manushjon,0,1,0
,Dhila hala,0,1,0
,Kaj kam kor hala,0,1,0
